,Phenanthrene,3-methylphenanthrene,2-methylphenanthrene,9-methylphenanthrene,1-methylphenanthrene,3-ethylphenanthrene,,,"3,6-dimethylphenanthrene","3,5-&2,6-dimethylphenanthrene","2,7-dimethylphenanthrene","1,3-&2,10-&3,9-&3,10-dimethylphenanthrene","2.5-&2,9-&1,6-dimethylphenanthrene","1,7-dimethylphenanthrene","2,3-dimethylphenanthrene","1,9-&4,9-&4,10-dimethylphenanthrene","1,8-dimethylphenanthrene","1,2-dimethylphenanthrene","1,3,6+1,3,10+2,6,10-trimethylphenanthrenes","1,3,7+2,6,9+7e1mp--trimethylphenanthrenes","1,3,9+2,3,6-trimethylphenanthrene","1,6,9+1,7,9+2,3,7-trimethylphenanthrene","1,3,8-trimetylphenanthrene","2,3,10-trimethylphenanthrene","1,6,7-trimethylphenanthrene","1,2,6-trimethylphenanthrene","1,2,7-trimethylphenanthrene& 1,2,9-trimethylphenanthrene","1,2,8-trimethylphenanthrene",Std: Ehtylpyrene
,,3MPhenanthrene,2MPhenanthrene,9MPhenanthrene,1MPhenanthrene,3EPhenanthrene,,9+2+1EPhenanthrene,"3,6DMPhenanthrene","3,5+2,6DMPhenanthrene","2,7DMPhenanthrene","1,3+2,10+3,9+3,10DMPhenanthrene","1,6+2,9+2,5DMPhenanthrene","1,7DMPhenanthrene","2,3DMPhenanthrene","1,9+4,9+4,10DMPhenanthrene","1,8DMPhenanthrene","1,2DMPhenanthrene","1,3,6+1,3,10+2,6,10TMPhenanthrene","1,3,7+2,6,9TMPhenanthrene+7E1MPhenanthrene","1,3,9+2,3,6TMPhenanthrene","1,6,9+1,7,9+2,3,7TMPhenanthrene","1,3,8TMPhenanthrene","2,3,10TMPhenanthrene","1,6,7TMPhenanthrene","2,6,7TMPhenanthrene","1,2,7+1,2,9TMPhenanthrene","1,2,8TMPhenanthrene",IS 
,P,3-MP,2-MP,9-MP,1-MP,3-EP,"9,2,1-EP+3,6-DMP",,,"3,5+2,6-DMP","2,7-DMP","1,3+3,9+2,10+3,10-DMP","2,5+2,9+1,6-DMP","1,7-DMP","2,3-DMP","1,9+4,9+4,10-DMP","1,8-DMP","1,2-DMP","1,3,6-+1,3,10-+2,6,10-TMP","1,3,7-+2,6,7-+2,7,9-+7-E-1-MP","1,3,9-+2,3,6-TMP","1,6,9-+1,7,9-+2,3,7-TMP","1,3,8-TMP","2,3,10-TMP","1,6,7-TMP","1,2,6-TMP","1,2,7-+1,2,9-TMP","1,2,8-TMP",
,,3MP,2MP,9MP,1MP,3 EP,,9+2+1 EP,3.6 DMP,3.5 DMP+ 2.6 DMP,2.7 DMP,1.3+3.9+2.10+3.10 DMP,2.5+2.9+1.6 DMP,1.7 DMP,2.3 DMP,1.9+4.9+4.10 DMP,1.8 DMP,1.2 DMP,1.3.6+1.3.10+2.6.10TMP,1..3.7+2.6.9TMP+1E.1MP,1.3.9+2.3.6 TMP,1.6.9+1.7.9+2.3.7TMP,1.3.8 TMP,2.3.10 TMP,1.6.7 TMP,1.2.6 TMP,1.2.7+1.2.9 TMP,1.2.8 TMP,
,,3-Methylphenanthrene,2-Methylphenanthrene,9-Methylphenanthrene,1-Methylphenanthrene,3-Ethylphenanthrene,,9+2+1-Ethylphenanthrene,"3,6-Dimethylphenanthrene","3,5+2,6-Dimethylphenanthrene","2,7-Dimethylphenanthrene","1,3+3,9+2,10+3,10-Dimethylphenanthrene","2,5+2,9+1,6-Dimethylphenanthrene","1,7-Dimethylphenanthrene","2,3-Dimethylphenanthrene","1,9+4,9+4,10-Dimethylphenanthrene","1,8-Dimethylphenanthrene","1,2-Dimethylphenanthrene","1,3,6+1,3,10+2,6,10-Trimethylphenanthrene","1,3,7+2,6,9-Trimethylphenanthrene,+7Ethyl-1Methylphenanthrene","1,3,9+2,3,6-Trimethylphenanthrene","1,6,9+1,7,9+2,3,7-Trimethylphenanthrene","1,3,8-Trimethylphenanthrene","2,3,10-Trimethylphenanthrene","1,6,7-Trimethylphenanthrene","1,2,6-Trimethylphenanthrene","1,2,7+1,2,9-Trimethylphenanthrene","1,2,8-Trimethylphenanthrene",
,,,,,,,"9-,2-,1-EP + 3,6-DMP",,,"3,5- + 2,6-DMP",,"1,3- + 3,9- + 2,10- + 3,10-DMP","2,5- + 2,9- + 1,6-DMP",,,"1,9- + 4,9- + 4,10-DMP",,,"1,3,6- + 1,3,10- + 2,6,10-TMP","1,3,7- + 2,6,7- + 2,7,9- +7-E-1-MP","1,3,9- + 2,3,6-TMP","1,6,9- + 1,7,9- + 2,3,7-TMP",,,,,"1,2,7- + 1,2,9-TMP",,
,Phen,,,,,,,,,"3,5-+2,6-DMP","2,7DMP","1,3+3,9+2,10+3,10DMP","2,5+2,9+1,6DMP","1,7DMP","2,3DMP","1,9+4,9+4,10DMP","1,8DMP","1,2DMP","1,3,6+1,3,10+2,6,10TMP","1,3,7+2,6,9TMP","1,3,9+2,3,6TMP","1,6,9+1,7,9+2,3,7TMP","1,3,8TMP","2,3,10TMP","1,6,7TMP","1,2,6TMP",,"1,2,8TMP",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IUPAC name englisch,phenanthrene,3-methylphenanthrene,2-methylphenanthrene,9-methylphenanthrene,1-methylphenanthrene,3-ethylphenanthrene,"9-+2-+1-ethylphenanthrene + 3,6-dimethylphenanthrene","9,-,2-,1-ethylphenanthrene","3,6-dimethylphenanthrene","3,5-+2,6-dimethylphenanthrene","2,7-dimethylphenanthrene","1,3-+2,10-+3,9-+3,10-dimethylphenanthrene","2.5-+2,9-+1,6-dimethylphenanthrene","1,7-dimethylphenanthrene","2,3-dimethylphenanthrene","1,9-+4,9-+4,10-dimethylphenanthrene","1,8-dimethylphenanthrene","1,2-dimethylphenanthrene","1,3,6+1,3,10+2,6,10-trimethylphenanthrene","1,3,7+2,6,9-trimethylphenanthrene+7-ethyl-1-methylphenanthrene","1,3,9+2,3,6-trimethylphenanthrene","1,6,9+1,7,9+2,3,7-trimethylphenanthrene","1,3,8-trimetylphenanthrene","2,3,10-trimethylphenanthrene","1,6,7-trimethylphenanthrene","1,2,6-trimethylphenanthrene","1,2,7-+ 1,2,9-trimethylphenanthrene","1,2,8-trimethylphenanthrene",Ethylpyrene (IS)
GFZ abbreviation,Phen,3MePhen,2MePhen,9MePhen,1MePhen,3EPhen,9+2+1EPhen+36DiMePhen,921EPhen,36DiMePhen,35+26DiMePhen,27DiMePhen,13+210+39+310DiMePhen,25+29+16DiMePhen,17DiMePhen,23DiMePhen,19+49+410DiMePhen,18DiMePhen,12DiMePhen,136+1310+2610TriMePhen,137+269+7e1mpTrimMePhen,139+236TriMePhen,169+179+237TriMePhen,138TriMePhen,2310TriMePhen,167TriMePhen,126TriMePhen,127+ 129TriMePhen,128TriMePhen,Ehylpyrene (IS)
InchI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
