,C1 Benzene,C2- Benzenes,,,C3-Benzenes,,,,,,,C4-Benzenes,,,,,,,,,,,,,,,,
,,Ethylbenzene,m+p-xylene,o-xylene,isopropylbenzene,n-propilbenzene,1-metil-3-ethylbenzene,1-methyl-4-ethylbenzene,1.3.5-trimethylbenzene,1-methyl-2-ethylbenzene,1.2.4-trimetylbenzene,isobulthylbenzene,sec-butylbenzene,1-methyl-3-isopropylbenzene,1.2.3-trimethylbenzene,1-methyl-4-isopropylbenzene,1-methyl-2-isopropylbenzene,1.3 diethylbenzene,1-methyl-3-propylbenzene,1-methyl-2-propylenzene,1.4-dimethtyl-2-ethylbenzene,1.3-dimethtyl-4-ethylbenzene,1.2-dimethtyl-4-ethylbenzene,1.3-dimethtyl-2-ethylbenzene,1.2-dimethtyl-3-ethylbenzene,1.2.4.5-tetramethylbenzene,1.2.3.5-tetramethylbenzene,1.2.3.4-tetramethylbenzene
,,ethylbenzene,,,,n-propylbenzene,1-methyl-3-ethylbenzene,,"1,3,5-trimethylbenzene",,"1,2,4-trimethylbenzene",isobutylbenzene,,,"1,2,3-trimethylbenzene",,,"1,3-diethylbenzene",,1-methyl-2-propylbenzene,"1,4-dimethyl-2-ethylbenzene","1,3-dimethyl-4-ethylbenzene","1,2-dimethyl-4-ethylbenzene","1,3-dimethyl-2-ethylbenzene","1,2-dimethyl-3-ethylbenzene","1,2,4,5-tetramethylbenzene","1,2,3,5-tetramethylbenzene","1,2,3,4-tetramethylbenzene"
,,,,,,,,,135TriMB,,124TriMB,,,,123TriMB,,,,,,,,,,,1245TetMB,1235TetMB,1234TetMB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IUPAC Name englisch,toluene,ethylbenzene,"1,3-+1,4-dimethylbenzene","1,2-dimethylbenzene",(propan-2-ylbenzene,propylbenzene,1-ethyl-3-methylbenzene,1-ethyl-4-methylbenzene,"1,3,5-trimethylbenzene",1-ethyl-2-methylbenzene,"1,2,4-trimethylbenzene",(2-methylpropyl)benzene,(butan-2-yl)benzene,1-methyl-3-(propan-2-yl)benzene,"1,2,3-trimethylbenzene",1-methyl-4-(propan-2-yl)benzene,1-methyl-2-(propan-2-yl)benzene,"1,3-diethylbenzene",1-methyl-3-propylbenzene,1-methyl-2-propylbenzene,"2-ethyl-1,4-dimethylbenzene","1-ethyl-2,4-dimethylbenzene","4-ethyl-1,2-dimethylbenzene","2-ethyl-1,3-dimethylbenzene","1-ethyl-2,3-dimethylbenzene","1,2,4,5-tetramethylbenzene","1,2,3,5-tetramethylbenzene","1,2,3,4-tetramethylbenzene"
Other name 1,methylbenzene,,m-+p-xylene,o-xylene,isopropylbenzene,n-propylbenzene,3-ethyltoluene,4-ethyltoluene,mesitylene,2-ethyltoluene,pseudocumene,isobutylbenzene,sec-butylbenzene,1-methyl-3-isopropylbenzene,hemimellitene,1-methyl-4-isopropylbenzene,1-methyl-2-isopropylbenzene,,,,,,,,,durene,isodurene,prehnitene
Other name 2,,,,,cumene,,,,,,,,1-methylpropylbenzene,,,,,,,,,,,,,,,
Sec 3.2 abbreviation,Tol,EtBenz,13+14DiMeBenz,12DiMeBenz,isoPropBenz,PropBenz,1Et3MeBenz,1Et4MeBenz,135TriMeBenz,1Et2MeBenz,124TriMeBenz,isoButBenz,secButBenz,1Me3isoPropBenz,123TriMeBenz,1Me4isoPropBenz,1Me2isoPropBenz,13DiEtBenz,1Me3PropBenz,1Me2PropBenz,2Et14DiMeBenz,1Et24DiMeBenz,4Et12DiMeBenz,2Et13DiMeBenz,1Et23DiMeBenz,1245TetMeBenz,1235TetMeBenz,1234TetMeBenz
InChI,,,,,,"InChI=1S/C9H12/c1-2-6-9-7-4-3-5-8-9/h3-5,7-8H,2,6H2,1H3",,,,,,,,,,,,,,,,,,,,,,
CAS,,,,,,    103-65-1,,,,,,,,,,,,,,,,,,,,,,
