Monoaromatische Steroide,1: Pregnane (X=Ethyl),2: 20-Methylpregnane (X=2-Propyl),,4: 5b-Cholestane 20S,5: Diacholestane 20S,6: 5b-Cholestane 20R + Diacholestane 20R 5a-Cholestane 20S,7: 5b-Ergostane 20S + Diaergostane 20S,8: 5a-Diacholestane 20S,9: 5a-Cholestane 20R 5a-Ergostane 20S 5b-Ergostane 20R Diaergostane 20R 5b-Stigmastane 20S Diastigmastane 20S,10: 5a-Stigmastane 20S,11: 5a-Ergostane 20R,12: 5b-Stigmastane 20R Diastigmastane 20R,,Triaromatische Steroide,,,,,3: 20-Ethylpregnane (X=2-Butyl),4: Cholestane 20S,5: Cholestane 20R + Ergostane 20S,6: Stigmastane 20S (24-Ethylcholestan 20S),7: Ergostane 20R (24-Methylcholestane 20R),,,8: 24-n-Propylcholestane 20S,9: Stigmastane 20R,,,,,,,,Internal Standard
,Pregnane (x=ethyl),20-Methylpregnane (x=2-propyl),20-Ethylpregnane (x=2-butyl),5β-Cholestane 20S,Diacholestane 20S,5β-Cholestane 20R;Diachlolestane 20R + 5α-Cholestane 20S,5β-Ergostane 20S;Diaergostane 20S,,5α-Cholestane 20R + 5α-Ergostane 20S + 5β-Ergostane 20R;Diaergostane 20R + 5β-Stigmastane 20S;Diastigmastane 20S,5α-Stigmastane 20S,5α-Ergostane 20R,5β-Stigmastane 20R;Diastigmastane 20R,5α-Stigmastane 20R,,,,,,,,,,,,,,,,,,,,,,Eth.Pyrene
,MonoA-A1,MonoA-B1,MonoA-C1,MonoA-D1,MonoA-E1,MonoA-F1,MonoA-G1,MonoA-H1,MonoA-I1,MonoA-J1,MonoA-K1,MonoA-L1,,,TriA-a1,TriA-b1,,,TriA-c1,TriA-d1,TriA-e1,TriA-f1,TriA-g1,,,TriA-h1,TriA-i1,TriA-j1,,,,,,,
,Pregnane (X=Ethyl),20-Methylpregnane (X=2-Propyl), 20-ethylpregnane (X=2-Butyl),,,,,,,,,,,,,,,,,Cholestane 20S,Cholestane 20R Plus Ergostane,Stigmastane 20S (24-ethylcholestane 20S),Ergostane 20R (24-Methylcholestane 20R),,,24-n-Propylcolestane 20S,Stigmastane 20R,24-n-Propulcholestane 20R,,,,,,,
,MARST_A1,MARST_B1,MARST_C1,MARST_D1,MARST_E1,MARST_F1,MARST_G1,MARST_H1,MARST_I1,,,,,,TAroST_a1,TAroST_b1,,,TAroST_c1,TAroST_d1,TAroST_e1,TAroST_f1,TAroST_g1,,,,TAroST_i1,TAroST_j1,,,,,,,*
,1,2,3,4,5,6,7,8,9,10,11,12,13,,,,3a,3b,,,,,,8a,8b,,,,,,,,,,Is m/z 231
,C21 MAS,C22 MAS,,bSC27 ,bSC27 Dia,bRC27+,bSC28+,aSC28 Dia,aRC27/28/29,aSC29 ,aRC28 ,bRC29+,aRC29,,,C20TA,,,,C21TA,C22TA? (h1),SC26TA,RC26TA + SC27TA,SC28TA,RC27TA,24n-Propylcholestane 20S (i1),RC28TA,24n-Propylcholestane 20R (j1),TAS-29 (S+R),,,,,,
,MAS-21,MAS-22,MAS-23,MAS-27bS,DiaMAS-27S,MAS-27bR+,MAS-28bS+,DiaMAS-27aS,MAS-28bR+,MAS-29aS,MAS-28abR,MAS-29bR+,MAS-29aR,,TAS,TAS-20,,,TAS-EthyPregA,TAS-21,,TAS-26S,TAS-26R+,TAS-28S,TAS-27R,TAS-24a,TAS-24b,TAS-28R,TAS-29,,,,,,
,A1,B1,C1,D1,E1,F1,G1,H1,I1,J1,K1,L1,,,a1,b1,h1,c1,d1,e1,f1,i1,,j1,,,,,,,,,,,
,,20-Methylpregnane (X=2-Propyl) 20-ethylpregnane (X=2-Butyl),,5 b -Cholestane 20S,,5 b -Cholestane 20R Plus Diacholestane 20R 5s -Cholestane 20S,5b -Ergostane 20S Plus Diaergostane 20S,5a-Diacholestane 20S  ,5a-Cholestane 20R  Ergostane 20s  5b Ergostane 20R  Diaergostane 20R  5 b-Stigmastane 20S  Diastigmastane 20S,5a-stigmastane 20S,5a-Ergostane 20R,5b-Stigmastane  Diastigmastane 20R,5a-stigmastane 20R,,,,,,,,,,,,,,,,,,,,,,
